2026-04-28 18:30:50.7209 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/index.css - 304 - - 121.9111ms 
2026-04-28 18:30:50.7209 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-bundle.js - 304 - - 116.9202ms 
2026-04-28 18:30:50.7818 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9G" completed keep alive response. 
2026-04-28 18:30:50.7818 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/_vs/browserLink - 200 - text/javascript;+charset=UTF-8 78.3663ms 
2026-04-28 18:30:50.8193 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/v1/swagger.json - - - 
2026-04-28 18:30:50.8193 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/v1/swagger.json' 
2026-04-28 18:30:50.8193 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.8193 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/favicon-32x32.png - - - 
2026-04-28 18:30:50.8193 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/favicon-32x32.png' 
2026-04-28 18:30:50.8193 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.8193 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9E" completed keep alive response. 
2026-04-28 18:30:50.8193 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/favicon-32x32.png - 304 - - 1.1649ms 
2026-04-28 18:30:50.8402 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9G" completed keep alive response. 
2026-04-28 18:30:50.8402 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/v1/swagger.json - 200 - application/json;charset=utf-8 21.1840ms 
2026-04-28 18:31:00.9441 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/api/Student - - - 
2026-04-28 18:31:00.9517 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | 1 candidate(s) found for the request path '/api/Student' 
